symbol,ok,bars,days,first,last
NSE:NIFTY26SEP24800CE,True,10527,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24800PE,True,10521,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24850CE,True,10426,27.0,2026-08-03 09:26:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24850PE,True,6507,22.0,2026-08-03 09:51:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24900CE,True,10525,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24900PE,True,10443,27.0,2026-08-03 09:21:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24950CE,True,10418,27.0,2026-08-03 09:27:00,2026-09-08 15:30:00
NSE:NIFTY26SEP24950PE,True,7423,26.0,2026-08-03 11:31:00,2026-09-08 15:30:00
NSE:NIFTY26SEP25000CE,True,10528,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP25000PE,True,10528,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:NIFTY26SEP25050CE,True,10458,27.0,2026-08-03 09:18:00,2026-09-08 15:30:00
NSE:NIFTY26SEP25050PE,True,5030,18.0,2026-08-03 10:21:00,2026-08-27 15:30:00
NSE:BANKNIFTY26SEP56100CE,True,3380,10.0,2026-08-24 14:40:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56100PE,True,3742,9.0,2026-08-27 09:31:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56200CE,True,6251,18.0,2026-08-11 13:14:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56200PE,True,9908,27.0,2026-08-03 09:18:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56300CE,True,3234,9.0,2026-08-27 14:32:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56300PE,True,10317,27.0,2026-08-03 09:51:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56400CE,True,4453,13.0,2026-08-21 10:31:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56400PE,True,5183,13.0,2026-08-21 10:31:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56500CE,True,10461,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56500PE,True,10507,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56600CE,True,4941,13.0,2026-08-20 09:20:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56600PE,True,10071,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56700CE,True,6581,18.0,2026-08-12 13:52:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56700PE,True,8458,24.0,2026-08-06 14:09:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56800CE,True,8561,24.0,2026-08-03 12:34:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56800PE,True,7710,22.0,2026-08-03 09:53:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56900CE,True,7848,23.0,2026-08-03 09:24:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP56900PE,True,7297,20.0,2026-08-12 15:09:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57000CE,True,10520,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57000PE,True,10526,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57100CE,True,8892,24.0,2026-08-03 09:31:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57100PE,True,10220,27.0,2026-08-03 09:36:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57200CE,True,9202,26.0,2026-08-03 09:26:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57200PE,True,10332,27.0,2026-08-03 09:20:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57300CE,True,9432,25.0,2026-08-03 09:34:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57300PE,True,10302,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57400CE,True,9811,26.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57400PE,True,10402,27.0,2026-08-03 09:18:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57500CE,True,10524,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57500PE,True,10518,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57600CE,True,10374,27.0,2026-08-03 09:30:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57600PE,True,10280,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57700CE,True,10434,27.0,2026-08-03 09:39:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57700PE,True,10366,27.0,2026-08-03 09:35:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57800CE,True,10384,27.0,2026-08-03 10:00:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57800PE,True,10472,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57900CE,True,10262,27.0,2026-08-03 09:47:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP57900PE,True,10500,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58000CE,True,10525,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58000PE,True,10524,27.0,2026-08-03 09:15:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58100CE,True,10219,27.0,2026-08-03 12:47:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58100PE,True,10331,27.0,2026-08-03 09:40:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58200CE,True,10387,27.0,2026-08-03 09:23:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58200PE,True,10470,27.0,2026-08-03 09:17:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58300CE,True,10252,27.0,2026-08-03 09:36:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58300PE,True,9831,26.0,2026-08-03 09:16:00,2026-09-08 15:30:00
NSE:BANKNIFTY26SEP58400CE,True,10312,27.0,2026-08-03 09:16:00,2026-09-08 15:30:00
